account_address,etherscan_link,cashout_tx_link,cashout_value_eth,value_category,cashout_recipient,cashout_timestamp,etherscan_tx_count,victim_campaign_start_idx,cashout_tx_idx_gt,annotator_1_verdict,annotator_1_notes,annotator_1_confidence
0xb9ba5ee81c6b58b79da3c960bee88a016a5240e9,https://etherscan.io/address/0xb9ba5ee81c6b58b79da3c960bee88a016a5240e9,https://etherscan.io/tx/0x9b63581c4bd19557589879e5edb611c5d95ce61f79114568bed105a3429e7835,725.5714,VERY LARGE (>50 ETH),0x87c4b34a08a9e41a89e1c52484ef1c3bbdf1d35c,2020-10-12 00:50 UTC,147,0,146,CONFIRMED,Large cashout: 725.57 ETH (>=10 ETH threshold),HIGH
0x3f8a37bde9b15b65c82f9cdd00192e0ba36cc5fc,https://etherscan.io/address/0x3f8a37bde9b15b65c82f9cdd00192e0ba36cc5fc,https://etherscan.io/tx/0x50d27d1ce2374badcd1cfd1445accf6ea6eda71a1389387ee721df4b21764e1f,154.8623,VERY LARGE (>50 ETH),0x4003ce7599803e09e0a4f97085ecb44bac607484,2017-12-21 06:27 UTC,277,16,262,CONFIRMED,Large cashout: 154.86 ETH (>=10 ETH threshold),HIGH
0xc04db254be07f31c5916df143993a61822a2f2c8,https://etherscan.io/address/0xc04db254be07f31c5916df143993a61822a2f2c8,https://etherscan.io/tx/0xc0308dee069742a3d18771414ca7d9c668806dfd6917b0d5fa748ccc592f49d8,140.3799,VERY LARGE (>50 ETH),0x82cbbc77234db7208f20bd6c76ecab3c300cae9f,2018-10-17 16:33 UTC,36,4,34,CONFIRMED,Large cashout: 140.38 ETH (>=10 ETH threshold),HIGH
0x2846418ac4626b425554768f5702217f63d77a57,https://etherscan.io/address/0x2846418ac4626b425554768f5702217f63d77a57,https://etherscan.io/tx/0x88d3e6e0a929261d85f53cdaac60c800cfd338b2671bec8997fc5576bb75ea01,134.0,VERY LARGE (>50 ETH),0x87062d5a283229b89b25c5becc4de3e898ac0b47,2018-09-17 15:25 UTC,266,135,204,CONFIRMED,Large cashout: 134.00 ETH (>=10 ETH threshold),HIGH
0xad0c88f3313abbce2185597e87a15f764e948a46,https://etherscan.io/address/0xad0c88f3313abbce2185597e87a15f764e948a46,https://etherscan.io/tx/0x39898606ed68c5b107a9f53348c46c3f8ed5f5071fc0147ec52a72d4e1527397,105.0402,VERY LARGE (>50 ETH),0x6b6d7711a071b7656e73c18eaa3611d2d82d97bc,2018-03-15 15:00 UTC,12,4,11,CONFIRMED,Large cashout: 105.04 ETH (>=10 ETH threshold),HIGH
0x29e225d888cf11c5e67613bffd30bcf071eb3d4a,https://etherscan.io/address/0x29e225d888cf11c5e67613bffd30bcf071eb3d4a,https://etherscan.io/tx/0xbd3f8d356cf9305690383e8e3ad7023d161fc01dcee961fe51c315269c8025e2,102.0,VERY LARGE (>50 ETH),0x2da8703d18afed53b303119e4ff06cf035a9fadb,2017-12-20 22:01 UTC,181,111,125,CONFIRMED,Large cashout: 102.00 ETH (>=10 ETH threshold),HIGH
0x0ffd3b6a9e628f9373f532de71c5888f3bb4e739,https://etherscan.io/address/0x0ffd3b6a9e628f9373f532de71c5888f3bb4e739,https://etherscan.io/tx/0x14b126eba5f6e7764b1141269e9c45ad1f486b77cdced6e0e636f4468168f6e0,85.25,VERY LARGE (>50 ETH),0x8f8087a18b83f97b7ec140f8961080f346e0c641,2021-04-13 22:11 UTC,151,0,131,CONFIRMED,Large cashout: 85.25 ETH (>=10 ETH threshold),HIGH
0x71e10ec3021dc58fbfea484c6da226e7b6f61507,https://etherscan.io/address/0x71e10ec3021dc58fbfea484c6da226e7b6f61507,https://etherscan.io/tx/0xbe72a0f5adb399d4e6679f238a242cc50e329b612e16d9ed51867cd11367c3da,62.6667,VERY LARGE (>50 ETH),0x7dab2e5f8f0d0c2e13d1d2af7bb2f136a43e84a8,2019-07-18 19:15 UTC,7,4,6,CONFIRMED,Large cashout: 62.67 ETH (>=10 ETH threshold),HIGH
0xe2b7a0c7bc21e000b8327713513b9d4d2620a414,https://etherscan.io/address/0xe2b7a0c7bc21e000b8327713513b9d4d2620a414,https://etherscan.io/tx/0x528814a079398b2904b3a5b2320cc57d6e021fd9270bf8755adf696eaa33ab3f,55.0,VERY LARGE (>50 ETH),0x6b118de2bc51b8733102db4cc1e29ed8b5af8408,2020-12-10 14:55 UTC,500,0,476,CONFIRMED,Large cashout: 55.00 ETH (>=10 ETH threshold),HIGH
0x545f5e5c54d8ac72af1c7de8c070387b73841a24,https://etherscan.io/address/0x545f5e5c54d8ac72af1c7de8c070387b73841a24,https://etherscan.io/tx/0x957b3d534dedc6d6a284ab54c5c14659c97b8f02ddb5f93e33e2f9b0d0e1a284,50.2,VERY LARGE (>50 ETH),0x17eb2b714fbcf486b72dae876c40b0776296162d,2018-03-15 20:43 UTC,188,17,132,CONFIRMED,Large cashout: 50.20 ETH (>=10 ETH threshold),HIGH
0x484067d97e83ce140016e8ee9d644e1901b9a3b4,https://etherscan.io/address/0x484067d97e83ce140016e8ee9d644e1901b9a3b4,https://etherscan.io/tx/0xf810d0b9809cc7c4b2c4f6d19d1afd17fd47c0864e9e18e45ce04e11321cd78f,44.086,LARGE (5-50 ETH),0x89cf6546c7b4584c2144263c1996e831c196ef54,2020-10-16 09:45 UTC,16,1,14,CONFIRMED,Large cashout: 44.09 ETH (>=10 ETH threshold),HIGH
0x4caf91195b40c8175ed7ea9a92096a08114364ff,https://etherscan.io/address/0x4caf91195b40c8175ed7ea9a92096a08114364ff,https://etherscan.io/tx/0xb9bc86ece9af452b0d5430b537f482fef2f0c44c42a1976ae7f4d7f711a2592d,38.2534,LARGE (5-50 ETH),0x986ccf5234d9cfbb25246f1a5bfa51f4ccfcb308,2020-07-10 00:54 UTC,58,12,33,CONFIRMED,Large cashout: 38.25 ETH (>=10 ETH threshold),HIGH
0x78352d907b6937e25c6212ac8d366d4b063a3588,https://etherscan.io/address/0x78352d907b6937e25c6212ac8d366d4b063a3588,https://etherscan.io/tx/0xfd85202fab9aa99cdedcdc119ce16bc8de9c844813cbc57cfd5b635d3115eeb3,37.4975,LARGE (5-50 ETH),0x86e624bd37746c57f644cd999850f99929789bc1,2022-02-22 07:48 UTC,381,2,380,CONFIRMED,Large cashout: 37.50 ETH (>=10 ETH threshold),HIGH
0x0a10c493bc6f7faecca5be1e82d7fd7fb3774049,https://etherscan.io/address/0x0a10c493bc6f7faecca5be1e82d7fd7fb3774049,https://etherscan.io/tx/0x8b9f26aa4f2a783217590cf037ab3443e06b7d5827a7e37626daeb5fa160bc6a,30.2329,LARGE (5-50 ETH),0x43f9f332722392f1e2ba9f2a32f414ebb949f111,2018-06-17 21:43 UTC,30,3,29,CONFIRMED,Large cashout: 30.23 ETH (>=10 ETH threshold),HIGH
0xea2d88d33d73e5ef4341c2e9ee42c6820effcd8a,https://etherscan.io/address/0xea2d88d33d73e5ef4341c2e9ee42c6820effcd8a,https://etherscan.io/tx/0x9a8807961a55ad0abe7ed85fe4a667fd7e80909a82d5120cc0ca56e9431596f1,29.71,LARGE (5-50 ETH),0x452a0422ae082754ae3971a233a7e2f7937b8906,2020-02-20 00:36 UTC,11,0,10,CONFIRMED,Large cashout: 29.71 ETH (>=10 ETH threshold),HIGH
