account,human_gt_burst,ai_max_attn_idx,hit_at_1,hit_at_3,hit_at_5,iou
0xca4da1753336aa8340710e0e1a8c0bee2bfbf56c,17-19,7,0,0,0,0.0
0x10158f88177e1e888b343812695dd553a41fcb5a,20-21,3,0,0,0,0.0
0x548821e41d89303810f3886f986b3e0c1f6f8858,30-32,0,0,0,0,0.0
0x4113c6ce4fb936d087e92a55d5b3bfdd275b1d3f,105-107,58,0,0,0,0.0
0x35810a676a84ec4db68c0a9286f7a740fda10b29,10-11,10,1,1,1,0.25
0x8b170540b63d2f826846f3c0b9e6410b08548ec3,2-4,1,0,1,1,0.2
0x05e85d73eaf6fef228294fdf867abba98552a99f,1-3,1,1,1,1,0.2
0x9366876700ca6db41e244c6995770a518e043fa1,3-4,1,0,1,1,0.25
0xe33086e461749c687c2ddc3ec4eb24ea591c0dc7,2-4,0,0,1,1,0.2
0xa53035d2ba8c1d53c50f54eb409d3856eb0b3e45,6-7,0,0,1,1,0.25
0x154e7d6dcd3b18840cf094629ab4f1776d2ba89f,74-76,0,0,0,0,0.0
0x73b0724d8187a1391d88e95e7db8abee3a90f569,35-36,19,0,0,0,0.0
0x6b4888b308d6013407190dfeefbb4c7dc2eaa61f,3-4,3,1,1,1,0.25
0x18341b373c795736c09bef6bef09bcecba4d27ff,4-5,2,0,0,1,0.0
0x64c940690a3660e68d93d8c6412d900bdd3e11e5,20-21,3,0,0,0,0.0
0xda88996f7d5548a088d97e6f67ef953f1a07d4b9,2-4,0,0,1,1,0.2
0x4dd0ef53784030fa675e2677f9cdc2a3e32e956b,28-29,27,0,0,0,0.0
0x84bdd3398669dc5cbca9c75c700fbafc53627140,11-13,9,0,0,0,0.0
0xe349b26753eca84a2858901d414c612c8c8e20f9,33-34,20,0,0,0,0.0
0xf774aef374312bb59e8c447a2315e8a273f6f1b4,15-17,14,0,0,0,0.0
0x0697f9d4db21472b3461aa07be39b16cd5b56eca,36-37,32,0,0,0,0.0
0x8e8b88715c5ec0b65321aef47f30b84caad67af2,59-60,0,0,0,0,0.0
0x8090be0a2e999cc78d89a864334d8c9bd0dc899a,17-18,15,0,0,0,0.0
0xb08e4aa5ff20d95e707510880b6134c130fa286e,53-55,0,0,0,0,0.0
0xa7886aa3b1d05b72c88dd467d5ada7809f419566,6-7,3,0,1,1,0.25
0xfde7bc4f67d926328ad881fec09cabbde2cf866f,13-15,0,0,0,0,0.0
0xa61344257ed7c98b4690572e63797d75b0753f96,4-5,2,0,0,1,0.0
0x2401fa404acbdf066d3c69e9fbc0e1f5d42f7d62,12-13,4,0,0,0,0.0
0x1d49428c8d20fd5f22ef44de07d09612800b24ab,4-5,1,0,1,1,0.25
0x5d0dd8e7585201ab1bc36fcec3922cc4ff6cef64,0-2,0,1,1,1,1.0
0x4423b4d5174dd6fca701c053bf48faeaaaee59f0,4-6,0,0,0,0,0.0
0x73de2ed2a3b166288f735409543ef99cf667df98,39-41,27,0,0,0,0.0
0x5b5039be7a3a8b779d21908f1000e221f3574fa5,9-10,6,0,0,1,0.0
0x9514bb0db553b15df6d9e3c4c03620e4c5cb954a,3-4,1,0,0,1,0.0
0xf9f876a42fcb0d40759790781fdc886449f54008,11-13,6,0,0,0,0.0
0xff2f6c6fbd71a078f1c1781855467d30897b5a33,14-15,13,0,0,0,0.0
0xc6a4f03f745f4203b2db7c520b327a27bf070172,18-19,1,0,0,0,0.0
0xf02ed2e4045e024d04e032e9f609d41795a69c1d,1-3,1,1,1,1,0.2
0x975c5dae9d3c022fc30d065d839d2d7422de04c2,12-13,5,0,0,0,0.0
0xd5e846494df899e0d7ea5e628501dfe420d2643b,14-16,10,0,0,0,0.0
0x9db99e73c52bcc353963022ac184a25e80f655bd,3-4,1,0,0,1,0.0
0xa88f16b7288736bb5913d2b4848d26e112658726,0-2,0,1,1,1,0.5
0x811d25440cf7167dcd95b5cf3d114046a6fe03a4,5-6,3,0,0,1,0.0
0xdd88afc7cbba595589d8353bc7f4f7de69e9c4d8,4-5,0,0,0,1,0.0
0xc42258e60e57ebadf8b03f04275bbce5212bb49b,3-5,2,0,1,1,0.2
0x1e857859deb11afd0ca7b760f21a3d8ddb03dbdf,41-42,10,0,0,0,0.0
0xd0d68941509f4231c88e4c204df6bdca05cc6506,136-138,3,0,0,0,0.0
0xd63fc5280580242f79e9f98c4e64f032109178fb,44-46,0,0,0,0,0.0
0xc859d7753a0295d8b88be34014a4956e15a2b745,3-5,0,0,1,1,0.5
0xac674b8d0e05d8d34a627cb20338a7c192231575,4-6,0,0,1,1,0.2
0xa3efa3aeb27711b51b8bd12d8bf0885d4949f065,3-4,1,0,0,1,0.0
0xcb07eebca7c8705da415ff23e64ac4d201f3a83b,9-11,0,0,0,0,0.0
0x8de51b248261c0e5736b412ef9faaaf619063b7a,4-5,2,0,1,1,0.25
0xcc66ea7ef61a67df02afb18706c68a5f30b22300,227-229,170,0,0,0,0.0
0x575162ecc95ec30d99da411ee04b35e5cd50778d,9-10,2,0,0,0,0.0
0xfa737b64d5e1c2148eaa033fd6cef2a5856916bf,3-5,3,1,1,1,0.2
0xc8428f2f654bca80ad74d009a48c5c56fc85ab9f,3-4,1,0,1,1,0.25
0xa402aa2aa7b203ffd0a3bb52ecabc4cef038cd30,1-3,1,1,1,1,0.2
0x5d1d3a505df4013978e71a2046449930b26a343a,3-5,3,1,1,1,0.2
0x1f319dd5015b1068f102912f970d63b9947e4cb0,5-6,5,1,1,1,0.25
0x4496370b4f0993152f761bd3b3d1dd4e7b1b3139,14-15,8,0,0,0,0.0
0xa8a6497978c264d7ce268d826a834c1d7134d914,10-11,0,0,1,1,0.25
0x585a5b8f790555c2d084071939253d1877d29339,6-8,5,0,0,1,0.0
0x8374aa52bf36eabca06e33c4163a081f53e39aa3,12-13,12,1,1,1,0.25
0xe61fb5c8af81932f9a1b9878acdf8c8bd1c3753b,0-2,0,1,1,1,0.2
0xeca2592e788c76f2e3cd4eb6ffcdbe5cf8141c72,62-64,0,0,0,0,0.0
0x28906b932cf61c99efc12615f4852bd2d512d8a2,5-6,2,0,1,1,0.25
0x8e073326377b34d039f7b2cbb28cfccedd0b91f2,0-1,0,1,1,1,0.667
0x57a3d07e27475aa8f5d306b7bb25aebfd27c4512,10-11,4,0,0,0,0.0
0xa8afa9a714e06b9eb1b500617494ac213f2d428a,8-9,1,0,0,1,0.0
0x42b32269537820f232eeb2e5c97e29416dde25b0,9-10,1,0,0,0,0.0
0x72a66bba491f0c696c4c4e3154d07b241d371944,0-2,0,1,1,1,0.5
0xedc0c49946b93aa296a11298480ae7913bb65222,0-2,0,1,1,1,0.2
0x227ba10622303ec48d0f12c9ed96a59553b599bd,10-11,0,0,0,0,0.0
0xdc261f7a835c3692e22485ab2d78cbadf3842490,11-12,3,0,0,0,0.0
0xb657363ff37003b9681f26977e01651c2ea6acdd,2-4,1,0,1,1,0.2
0xfc16ad3918e61ebbde73dbefeb356904e524f83c,6-7,2,0,0,0,0.0
0xc6e23e534c893f98490e5e64c2065ce2643c2bbd,21-22,13,0,0,0,0.0
0x5ed7046abeb1fa06f54283a2eb4a09efa2711a8a,5-6,0,0,0,1,0.0
0xdccea2e783d873acb4ccfb7dead1004d90ad481d,29-31,25,0,0,0,0.0
0xf605c1c8c1cd6bc3aa6f7383b86226c583ab2775,36-37,29,0,0,0,0.0
0x26bb612e398a41db0f749fce24634064ab68c72a,7-8,4,0,1,1,0.25
0x6353940eabe11c7cd78ecc2085ae65cdacc5a92b,23-24,18,0,1,1,0.25
0x429d386adc915ade21593609b1b89b976b2f2af4,3-4,1,0,0,1,0.0
0xa5712afa19d70bb5dd57b91c43fffcaaf077dc3d,12-14,0,0,0,0,0.0
0x4caf91195b40c8175ed7ea9a92096a08114364ff,32-34,0,0,0,0,0.0
0xaf09d613d518a5760e4c7cbb876b12a1ddabc0e0,40-41,21,0,0,0,0.0
0xd31b1bee0c9f42cb47406d52a796d8a26c5cf802,26-28,3,0,0,0,0.0
0x224b9f4666472682f3e805f4dc1e0fc39b7b96fb,13-14,0,0,0,0,0.0
0x0677f5ad9b72aa29f7671cebf86ce3735618c3da,2-4,2,1,1,1,0.2
0xe7cc576611c2df800862db667140a90cf9ec4b72,6-7,1,0,0,0,0.0
0x25ac09820e65144da1df55e8ab2d343fca974040,3-4,0,0,1,1,0.25
0x1c16b965c7960fea0bd7e8629885cbe162223f2e,8-10,2,0,0,1,0.0
0x8781ebb17371d0c530285433308c02b81b895dae,20-22,20,1,1,1,0.2
0x1edd4a59d12a3f82fe666b448000f2ac46344b2d,240-242,66,0,0,0,0.0
0xb639ff53f78f04d6f666a1bc4cef4348c0abc69f,4-5,4,1,1,1,0.25
0x35a0d3ab1bdaa5de4466dac63eace2b6b2147538,9-11,1,0,0,1,0.0
0x1e442d0461bd7a52fadb9920f6ed5bb3cd8ff75d,22-23,5,0,0,0,0.0
0x049b01966f721db6ec76097043e9d6eccaf719b6,11-13,2,0,0,0,0.0
0xb1507f936066831b3cac64c203df247ef2c80cdc,4-6,1,0,0,1,0.0
0xa4a41d77c8c0882b08c6751841a68570a71a1edb,72-74,2,0,0,0,0.0
0x20c6082fcdfc4304fd203d0bf240abc3e439f885,266-268,13,0,0,0,0.0
0xf2f6e155ae2050870f570773c7446a3a409bd4b7,13-14,8,0,0,0,0.0
0x94d55b6f8b53903026399ab45294140eafbfbf44,15-16,4,0,0,0,0.0
0x6eef8361bf52d8814ed646a8ec28020539982ac6,25-27,2,0,0,0,0.0
0x71d663de2df38d61a1871bb8ef503d18d19964d6,8-10,0,0,0,0,0.0
0x2189b1eea27f1d19bc2c61d991068ec947d8ec7b,1-3,0,0,1,1,0.5
0x9da5f88e2bd9c4da00fa30a2230117dc5ad2621e,4-5,1,0,0,1,0.0
0xbcf00150719d0385b24170c52a7c7b5a6f588e20,9-10,3,0,0,0,0.0
0x12ccf4b7010f5b201c8fda0f880f0ba63b1a88f3,1017-1019,426,0,0,0,0.0
0x6d08f8573e742db3eb88d8c545971e4dc9668528,6-8,0,0,0,0,0.0
0x429ce0f6927954fea3392eaa76dbffe2e3d428c2,7-8,5,0,0,0,0.0
0x89bb3b564703bd60d2a5146c5ea65d560e837699,13-15,4,0,0,0,0.0
0x1d1db7271513363097fdc84ed078356329c799e7,1-3,0,0,1,1,0.2
0x3e9163816b073c2ce425c99e68ba8ae7caaec067,23-24,14,0,0,0,0.0
0x5123bc9d86e99ea6b6c67c7ba66507f5b4356d7c,3-5,1,0,1,1,0.2
0x7cacaea4a2126818a1f2a3ebbbfce3b0e5480318,33-34,32,0,0,0,0.0
0x2a1c52252043257eb84228a90457772d870c0994,5-7,2,0,0,1,0.0
0xde1dc040e4ed660935828350627c27c3dd1c585a,212-214,39,0,0,0,0.0
0xdfcf794a95df54c921a07dcc77788460906b28e8,5-6,0,0,0,0,0.0
0x3ad072778446db654dee3ff5f80ac1e5ac12dd56,7-8,0,0,0,0,0.0
0x250c5e2cda38b4910c92d0e9f5d5bffa54a3879d,7-9,5,0,0,0,0.0
0xfb1a7ccf5bcd436dcc0acb49ba1fb9f57bb4d064,3-4,0,0,0,1,0.0
0x4bf722014e54aeab05fcf1519e6e4c0c3f742e43,509-511,410,0,0,0,0.0
0xa8c1eafe28d48608161f545dc22a805fe772a056,4-5,1,0,0,1,0.0
0x0c3125b6a0f973249918dc398379553bf4defc04,9-11,0,0,0,0,0.0
0x14d3cb89bfb1513cfae386d9d6ff447753fd04a5,5-6,3,0,1,1,0.25
0xea6e18fd3c301e4300bc99b6db792fcff376abb4,3-4,1,0,0,1,0.0
0xcc3a7e3c3cdcba86761de4fb3311b8add77761f2,17-19,14,0,0,0,0.0
0xe7f25cec2687b2d08969ef21d06b40aba248c177,68-70,0,0,0,0,0.0
0xcf45624eb75be6252402312d030a7d3e04c557ef,12-14,4,0,0,0,0.0
0xdf283ef5c8baaa03c70ce3e7a554ca06719b5f17,11-12,8,0,0,0,0.0
0x68c61530aa996cdb0c8c92821569ccf38c9ea6d2,4-5,0,0,0,1,0.0
0x297a88c749273f2de6a378a6015dd624d993c671,17-18,1,0,0,0,0.0
0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,14-15,12,0,1,1,0.25
0xf61d36a410f347c9fd14c7f0f169d04223e187fb,6-7,5,0,1,1,0.25
0x0591a42188996397fc7cd6db729045146c37696c,112-114,5,0,0,0,0.0
0x3a85774c434a4cc51fda217cf0e5caefd6c0af2f,6-7,0,0,0,1,0.0
0x20f2ce82c28b726930a9b476503df7b814335642,0-1,1,1,1,1,0.667
0x67c9c1c13033d381e9089365a0bb560421ec2773,0-2,0,1,1,1,0.2
0x81e7eae5baa0979398ba5c4b09cafcb8c690062b,9-10,7,0,0,1,0.0
0x95ffcdf36129e5e256190609cd97841d03e52356,20-21,5,0,0,0,0.0
