account,human_gt_burst,ai_max_attn_idx,hit_at_1,hit_at_3,hit_at_5,iou
0x548821e41d89303810f3886f986b3e0c1f6f8858,18-93,57,1,1,1,0.039
0x4113c6ce4fb936d087e92a55d5b3bfdd275b1d3f,96-106,137,0,0,0,0.0
0x35810a676a84ec4db68c0a9286f7a740fda10b29,7-11,11,1,1,1,0.143
0x8b170540b63d2f826846f3c0b9e6410b08548ec3,29-45,9,0,1,1,0.053
0x05e85d73eaf6fef228294fdf867abba98552a99f,3-5,5,1,1,1,0.5
0x9366876700ca6db41e244c6995770a518e043fa1,2-4,4,1,1,1,1.0
0xe33086e461749c687c2ddc3ec4eb24ea591c0dc7,0-5,1,1,1,1,0.286
0xf36b756013f80b162e8713fb37df7dda0cd7f143,0-3,3,1,1,1,0.75
0xa53035d2ba8c1d53c50f54eb409d3856eb0b3e45,5-7,7,1,1,1,1.0
0x73b0724d8187a1391d88e95e7db8abee3a90f569,2-36,36,1,1,1,0.086
0x6b4888b308d6013407190dfeefbb4c7dc2eaa61f,1-4,4,1,1,1,0.4
0x18341b373c795736c09bef6bef09bcecba4d27ff,0-5,5,1,1,1,0.5
0x64c940690a3660e68d93d8c6412d900bdd3e11e5,1-21,21,1,1,1,0.143
0xda88996f7d5548a088d97e6f67ef953f1a07d4b9,4-8,17,0,0,0,0.0
0x4dd0ef53784030fa675e2677f9cdc2a3e32e956b,1-29,29,1,1,1,0.103
0x84bdd3398669dc5cbca9c75c700fbafc53627140,3-12,37,0,0,0,0.0
0xe349b26753eca84a2858901d414c612c8c8e20f9,8-34,34,1,1,1,0.111
0xfcb27f1e0bc118014107daae776f0aceed02e5f3,0-2,2,1,1,1,1.0
0x0697f9d4db21472b3461aa07be39b16cd5b56eca,1-37,37,1,1,1,0.053
0x8e8b88715c5ec0b65321aef47f30b84caad67af2,57-60,34,0,0,1,0.0
0x8090be0a2e999cc78d89a864334d8c9bd0dc899a,1-18,18,1,1,1,0.167
0xb08e4aa5ff20d95e707510880b6134c130fa286e,0-59,46,1,1,1,0.05
0xa61344257ed7c98b4690572e63797d75b0753f96,1-5,5,1,1,1,0.6
0x2401fa404acbdf066d3c69e9fbc0e1f5d42f7d62,1-13,13,1,1,1,0.231
0x5d0dd8e7585201ab1bc36fcec3922cc4ff6cef64,0-1,4,0,1,1,0.25
0x73de2ed2a3b166288f735409543ef99cf667df98,0-40,40,1,1,1,0.023
0x5b5039be7a3a8b779d21908f1000e221f3574fa5,2-10,10,1,1,1,0.333
0x9514bb0db553b15df6d9e3c4c03620e4c5cb954a,0-4,4,1,1,1,0.6
0xf9f876a42fcb0d40759790781fdc886449f54008,2-19,12,1,1,1,0.105
0x8d4426f94e42f721c7116e81d6688cd935cb3b4f,0-13,6,1,1,1,0.214
0x9eb041af96d44583110565abec79aedf22eb60b5,0-18,18,1,1,1,0.158
0x3d849340d298955d62b73126823b4594feb1291d,5-61,52,1,1,1,0.053
0xff2f6c6fbd71a078f1c1781855467d30897b5a33,4-15,15,1,1,1,0.154
0xc6a4f03f745f4203b2db7c520b327a27bf070172,17-19,5,0,1,1,0.2
0xf02ed2e4045e024d04e032e9f609d41795a69c1d,0-13,14,0,1,1,0.133
0x975c5dae9d3c022fc30d065d839d2d7422de04c2,0-13,13,1,1,1,0.214
0xd5e846494df899e0d7ea5e628501dfe420d2643b,1-18,18,1,1,1,0.105
0xa88f16b7288736bb5913d2b4848d26e112658726,0-1,1,1,1,1,0.25
0x811d25440cf7167dcd95b5cf3d114046a6fe03a4,0-6,6,1,1,1,0.429
0x1e857859deb11afd0ca7b760f21a3d8ddb03dbdf,0-42,32,1,1,1,0.07
0xd0d68941509f4231c88e4c204df6bdca05cc6506,0-165,117,1,1,1,0.012
0xd63fc5280580242f79e9f98c4e64f032109178fb,15-50,13,0,1,1,0.054
0x20f1ce2ece9b82fbe501cf4ad62dd7f7dce52534,2-2,0,0,1,1,0.333
0xc859d7753a0295d8b88be34014a4956e15a2b745,17-21,4,0,0,0,0.0
0xac674b8d0e05d8d34a627cb20338a7c192231575,12-15,19,0,0,1,0.0
0xa3efa3aeb27711b51b8bd12d8bf0885d4949f065,0-4,4,1,1,1,0.6
0xcb07eebca7c8705da415ff23e64ac4d201f3a83b,2-10,9,1,1,1,0.2
0x8de51b248261c0e5736b412ef9faaaf619063b7a,1-5,5,1,1,1,0.6
0xc45475306a5a0b5e76e5c3d64499d50f6d30ce32,0-2,2,1,1,1,0.5
0xcc66ea7ef61a67df02afb18706c68a5f30b22300,13-228,243,0,0,0,0.0
0xa402aa2aa7b203ffd0a3bb52ecabc4cef038cd30,0-2,13,0,0,0,0.0
0x5d1d3a505df4013978e71a2046449930b26a343a,0-4,4,1,1,1,0.333
0x1f319dd5015b1068f102912f970d63b9947e4cb0,2-6,6,1,1,1,0.333
